City_ID,City,Country,Date,Lat,Lng,Max Temp,Current Description,Humidity,Clouds,Wind Speed,Rain (last 3h),Snow (last 3h)
102,Ahipara,NZ,2020-04-19 20:30:25,-35.17,173.17,61.61,light rain,88,100,6.44,2.69,0.0
103,Apatou,GF,2020-04-19 20:30:25,5.16,-54.35,78.26,light rain,90,100,3.53,2.67,0.0
104,Souillac,MU,2020-04-19 20:25:23,-20.52,57.52,77.0,shower rain,88,75,6.93,0.0,0.0
105,Mahebourg,MU,2020-04-19 20:28:17,-20.41,57.7,77.0,shower rain,88,75,6.93,0.0,0.0
106,Tambura,SS,2020-04-19 20:30:26,5.6,27.47,69.94,overcast clouds,70,100,7.36,0.0,0.0
107,Ponta Do Sol,PT,2020-04-19 20:28:01,32.67,-17.1,60.01,scattered clouds,56,26,10.0,0.0,0.0
108,Saint-Philippe,RE,2020-04-19 20:28:19,-21.36,55.77,77.0,scattered clouds,73,40,14.99,0.0,0.0
109,Nemuro,JP,2020-04-19 20:30:27,43.32,145.57,37.98,overcast clouds,81,91,11.14,0.0,0.0
110,Saskylakh,RU,2020-04-19 20:24:48,71.92,114.08,12.06,clear sky,94,0,3.33,0.0,0.0
111,Keflavik,IS,2020-04-19 20:26:34,64.0,-22.56,46.4,light intensity drizzle,93,90,29.97,0.0,0.0
112,Masterton,NZ,2020-04-19 20:30:27,-40.96,175.66,59.0,few clouds,69,20,1.99,0.0,0.0
113,Ziarat,PK,2020-04-19 20:30:28,30.38,67.73,48.45,scattered clouds,31,25,2.48,0.0,0.0
114,Salisbury,GB,2020-04-19 20:26:17,51.07,-1.8,55.4,clear sky,54,6,5.82,0.0,0.0
115,Lompoc,US,2020-04-19 20:27:42,34.64,-120.46,62.6,overcast clouds,59,90,12.75,0.0,0.0
116,Namibe,AO,2020-04-19 20:30:28,-15.2,12.15,75.06,light rain,63,5,7.07,0.22,0.0
117,Norman Wells,CA,2020-04-19 20:28:42,65.28,-126.83,28.4,overcast clouds,63,90,10.29,0.0,0.0
118,Barrow,US,2020-04-19 20:27:41,71.29,-156.79,12.2,light snow,85,90,3.36,0.0,0.0
119,Kruisfontein,ZA,2020-04-19 20:29:12,-34.0,24.73,67.55,scattered clouds,50,40,8.79,0.0,0.0
120,Porto Novo,BJ,2020-04-19 20:30:29,6.5,2.6,82.4,scattered clouds,78,40,9.17,0.0,0.0
121,General Elizardo Aquino,PY,2020-04-19 20:30:29,-24.43,-56.7,79.99,clear sky,42,0,4.09,0.0,0.0
122,Campoverde,PE,2020-04-19 20:30:30,-8.48,-74.81,87.8,few clouds,45,20,8.05,0.0,0.0
123,Mossendjo,CG,2020-04-19 20:30:30,-2.95,12.73,71.67,light rain,86,87,1.95,0.77,0.0
124,Castro,BR,2020-04-19 20:27:54,-24.79,-50.01,62.6,scattered clouds,56,33,3.02,0.0,0.0
125,Kaitangata,NZ,2020-04-19 20:25:24,-46.28,169.85,54.0,overcast clouds,50,85,8.01,0.0,0.0
126,Namatanai,PG,2020-04-19 20:28:31,-3.67,152.43,82.09,broken clouds,77,76,5.86,0.0,0.0
127,Teya,RU,2020-04-19 20:30:31,60.38,92.63,28.13,broken clouds,90,74,3.83,0.0,0.0
