City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Rain (last 3h),Snow (last 3h),Hotel Name
70,Kloulklubed,PW,78.8,broken clouds,7.04,134.26,0.0,0.0,Storyboard Beach Resort
74,Hilo,US,78.8,clear sky,19.73,-155.09,0.0,0.0,Hilo Hawaiian Hotel
75,Agadez,NE,87.55,broken clouds,19.75,10.25,0.0,0.0,
79,Auki,SB,82.17,broken clouds,-8.77,160.7,0.0,0.0,Auki Motel
80,Raga,SS,78.49,broken clouds,8.46,25.68,0.0,0.0,
81,Rawah,IQ,77.02,broken clouds,34.48,41.91,0.0,0.0,
82,Chiredzi,ZW,65.84,few clouds,-21.05,31.67,0.0,0.0,The Nesbitt Arms
83,Nampula,MZ,71.6,scattered clouds,-15.12,39.27,0.0,0.0,Tacab Residencial
84,Atuona,PF,82.96,scattered clouds,-9.8,-139.03,0.0,0.0,Villa Enata
85,Pisco,PE,77.0,clear sky,-13.7,-76.22,0.0,0.0,Hostal San Isidro Oficial
86,Karratha,AU,82.22,overcast clouds,-20.74,116.85,0.0,0.0,ibis Styles Karratha
87,Champerico,GT,87.49,few clouds,14.3,-91.92,0.0,0.0,"Hotel y restaurante ""El Diamante"""
89,Bethel,US,62.01,clear sky,41.37,-73.41,0.0,0.0,Courtyard by Marriott Danbury
91,Caranavi,BO,78.08,scattered clouds,-15.82,-67.55,0.0,0.0,Hotel Landivar
93,Zvishavane,ZW,60.78,few clouds,-20.33,30.07,0.0,0.0,Hotel Boutique Runde
94,Muli,MV,85.41,few clouds,2.92,73.57,0.0,0.0,Medhufushi Island Resort
96,Mar Del Plata,AR,75.2,few clouds,-38.0,-57.56,0.0,0.0,Gran Hotel Mar del Plata habitaciones
101,Luderitz,,62.6,clear sky,-26.65,15.16,0.0,0.0,LÜDERITZ NEST HOTEL
104,Souillac,MU,77.0,shower rain,-20.52,57.52,0.0,0.0,Bils' Villa
105,Mahebourg,MU,77.0,shower rain,-20.41,57.7,0.0,0.0,Shandrani Beachcomber Resort & Spa
106,Tambura,SS,69.94,overcast clouds,5.6,27.47,0.0,0.0,Guest hous Tambura
107,Ponta Do Sol,PT,60.01,scattered clouds,32.67,-17.1,0.0,0.0,Hotel do Campo
108,Saint-Philippe,RE,77.0,scattered clouds,-21.36,55.77,0.0,0.0,"Chambres d'hôte ""La Trinité"""
115,Lompoc,US,62.6,overcast clouds,34.64,-120.46,0.0,0.0,Holiday Inn Express Lompoc
119,Kruisfontein,ZA,67.55,scattered clouds,-34.0,24.73,0.0,0.0,Oyster Bay House Rental
120,Porto Novo,BJ,82.4,scattered clouds,6.5,2.6,0.0,0.0,Tour Eiffel Hotel Benin
121,General Elizardo Aquino,PY,79.99,clear sky,-24.43,-56.7,0.0,0.0,Caacupeii Jhugua Rey
