City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Iquique,CL,2020-04-17 11:52:21,-20.22,-70.14,62.6,82,3,4.12
180,Manado,ID,2020-04-17 11:52:21,1.49,124.85,80.6,88,40,2.24
181,Pincher Creek,CA,2020-04-17 11:52:21,49.48,-113.95,39.2,44,1,20.8
182,Narsaq,GL,2020-04-17 11:49:47,60.92,-46.05,30.4,92,100,8.68
183,Bengkulu,ID,2020-04-17 11:48:14,-3.8,102.27,79.77,79,98,1.66
184,Hilo,US,2020-04-17 11:47:44,19.73,-155.09,69.8,77,90,8.05
185,Marzuq,YE,2020-04-17 11:47:37,14.4,46.47,85.19,31,34,12.77
186,Kismayo,SO,2020-04-17 11:52:23,-0.36,42.55,86.77,69,47,11.12
187,Zuwarah,LY,2020-04-17 11:52:23,32.93,12.08,70.7,63,10,10.8
188,Santa Luzia,BR,2020-04-17 11:52:23,-19.77,-43.85,68.0,94,40,6.93
189,Port Hedland,AU,2020-04-17 11:52:24,-20.32,118.57,86.0,79,84,9.17
190,Nelson Bay,AU,2020-04-17 11:52:24,-32.72,152.15,66.0,51,76,8.05
191,Nouakchott,MR,2020-04-17 11:52:24,18.09,-15.98,74.1,46,66,16.4
192,Broome,US,2020-04-17 11:48:15,42.25,-75.83,30.0,82,49,1.99
193,Ilulissat,GL,2020-04-17 11:49:21,69.22,-51.1,30.2,36,40,5.82
194,Coria,ES,2020-04-17 11:52:25,39.99,-6.54,60.01,79,75,5.99
195,Xapuri,BR,2020-04-17 11:52:26,-10.65,-68.5,67.91,64,49,4.38
196,Quelimane,MZ,2020-04-17 11:49:02,-17.88,36.89,89.6,66,75,11.41
197,Jalu,LY,2020-04-17 11:48:42,29.03,21.55,78.84,19,0,8.34
198,Ocho Rios,JM,2020-04-17 11:52:13,18.4,-77.1,80.6,69,20,5.82
199,Nuuk,GL,2020-04-17 11:52:27,64.18,-51.72,28.4,86,75,10.29
200,Nouadhibou,MR,2020-04-17 11:49:37,20.93,-17.03,67.33,79,90,15.35
201,Eyl,SO,2020-04-17 11:52:28,7.98,49.82,87.13,61,12,11.45
202,Norman Wells,CA,2020-04-17 11:47:38,65.28,-126.83,32.0,94,75,27.51
203,Amagi,JP,2020-04-17 11:52:28,33.42,130.65,59.0,96,98,16.96
